author,id_article,year
Delores M. Etter,journals/cse/EtterHG01,2001
George Cybenko,journals/cse/Cybenko01a,2001
Jeffrey Skolnick,journals/cse/SkolnickK01a,2001
Andrzej Kolinski,journals/cse/SkolnickK01a,2001
David I. Lewin,journals/cse/Lewin02a,2002
Rudolf Eigenmann,journals/cse/BovaBGKMEGSS01,2001
Albert Y. Zomaya,journals/cse/Zomaya01,2001
John H. Reif,journals/cse/Reif02,2002
Jim X. Chen,journals/cse/ChenWV01,2001
Robert L. Grossman,journals/cse/GrossmanM02,2002
Andrew W. Lo,journals/cse/HaughL01,2001
Sauro Succi,journals/cse/SucciFSK01,2001
Jonathan M. Borwein,journals/cse/BorweinB01,2001
Peter B. Borwein,journals/cse/BorweinB01,2001
Andrea Clematis,journals/cse/ClematisS01,2001
Michela Spagnuolo,journals/cse/ClematisS01,2001
Michael J. Carey 0001,journals/vldb/ShanmugasundaramSBCLPR01,2001
Bruce G. Lindsay 0001,journals/vldb/ShanmugasundaramSBCLPR01,2001
Hamid Pirahesh,journals/vldb/ShanmugasundaramSBCLPR01,2001
Berthold Reinwald,journals/vldb/ShanmugasundaramSBCLPR01,2001
David J. DeWitt,journals/vldb/AilamakiDH02,2002
Mark D. Hill,journals/vldb/AilamakiDH02,2002
Vassilis J. Tsotras,journals/vldb/ChienTZ02,2002
Carlo Zaniolo,journals/vldb/ChienTZ02,2002
Angela Bonifati,journals/vldb/BonifatiCP01,2001
Stefano Ceri,journals/vldb/BonifatiCP01,2001
Stefano Paraboschi,journals/vldb/BonifatiCP01,2001
Jeffrey Xu Yu,journals/vldb/FengYLH02,2002
Hongjun Lu,journals/vldb/FengYLH02,2002
Jiawei Han 0001,journals/vldb/FengYLH02,2002
Gonzalo Navarro,journals/vldb/Navarro02,2002
Hanan Samet,journals/vldb/HjaltasonS02,2002
Kenneth Salem,journals/vldb/MaratheS02,2002
Tova Milo,journals/vldb/EyalM01,2001
Christian S. Jensen,journals/vldb/SaltenisJ02,2002
Alfons Kemper,journals/vldb/BraumandlKKKKSS01,2001
Donald Kossmann,journals/vldb/BraumandlKKKKSS01,2001
Sunita Sarawagi,journals/vldb/Sarawagi01,2001
Minos N. Garofalakis,journals/vldb/ChakrabartiGRS01,2001
Rajeev Rastogi,journals/vldb/ChakrabartiGRS01,2001
Kyuseok Shim,journals/vldb/ChakrabartiGRS01,2001
Fabio Casati,journals/vldb/CasatiSG01,2001
Ming-Chien Shan,journals/vldb/CasatiSG01,2001
Dimitrios Georgakopoulos,journals/vldb/CasatiSG01,2001
Chiang Lee,journals/vldb/LeeSC01,2001
Elena Ferrari,journals/vldb/FerrariAABC02,2002
Nabil R. Adam,journals/vldb/FerrariAABC02,2002
Vijayalakshmi Atluri,journals/vldb/FerrariAABC02,2002
Elisa Bertino,journals/vldb/FerrariAABC02,2002
Kevin Chen-Chuan Chang,journals/vldb/ChangG01,2001
Hector Garcia-Molina,journals/vldb/ChangG01,2001
Peter M. G. Apers,journals/vldb/ApersCS02,2002
Stefano Ceri,journals/vldb/ApersCS02,2002
Richard T. Snodgrass,journals/vldb/ApersCS02,2002
Paul W. P. J. Grefen,journals/vldb/GrefenVA01,2001
Peter M. G. Apers,journals/vldb/GrefenVA01,2001
Anne H. H. Ngu,journals/vldb/NguSHL01,2001
Du Q. Huynh,journals/vldb/NguSHL01,2001
Barbara Pernici,journals/vldb/MecellaP01,2001
Guido Moerkotte,journals/vldb/FiebigHKMNSW02,2002
Can Türker,journals/vldb/TurkerG01,2001
Michael Gertz,journals/vldb/TurkerG01,2001
Erhard Rahm,journals/vldb/RahmB01,2001
Philip A. Bernstein,journals/vldb/RahmB01,2001
Anand Sivasubramaniam,journals/vldb/AnGSVKI02,2002
Mahmut T. Kandemir,journals/vldb/AnGSVKI02,2002
Mary Jane Irwin,journals/vldb/AnGSVKI02,2002
Louiqa Raschid,journals/vldb/MihailaRT02,2002
Anthony Tomasic,journals/vldb/MihailaRT02,2002
Anindya Datta,journals/vldb/DattaDVRN01,2001
Krithi Ramamritham,journals/vldb/DattaDVRN01,2001
Shamkant B. Navathe,journals/vldb/DattaDVRN01,2001
Wen-Syan Li,journals/vldb/LiCHH01,2001
K. Selçuk Candan,journals/vldb/LiCHH01,2001
Kyoji Hirata,journals/vldb/LiCHH01,2001
Yoshinori Hara,journals/vldb/LiCHH01,2001
Gerhard Weikum,journals/vldb/ShegalovGW01,2001
Xiaoyang Sean Wang,journals/vldb/WangW01,2001
Davood Rafiei,journals/vldb/RafieiM02,2002
Alberto O. Mendelzon,journals/vldb/RafieiM02,2002
Sophie Cluet,journals/vldb/AguileraCMVV02,2002
Tova Milo,journals/vldb/AguileraCMVV02,2002
Laks V. S. Lakshmanan,journals/vldb/Amer-YahiaCLS02,2002
Divesh Srivastava,journals/vldb/Amer-YahiaCLS02,2002
Carlo Combi,journals/vldb/CombiP01,2001
Luc Bouganim,journals/vldb/PucheralBVB01,2001
Patrick Valduriez,journals/vldb/PucheralBVB01,2001
Dan Suciu,journals/vldb/ChirkovaHS02,2002
H. V. Jagadish,journals/vldb/JagadishACLNPPSWWY02,2002
Laks V. S. Lakshmanan,journals/vldb/JagadishACLNPPSWWY02,2002
Divesh Srivastava,journals/vldb/JagadishACLNPPSWWY02,2002
Daniel S. Weld,journals/vldb/IvesHW02,2002
Pascal Felber,journals/vldb/ChanFGR02,2002
Minos N. Garofalakis,journals/vldb/ChanFGR02,2002
Rajeev Rastogi,journals/vldb/ChanFGR02,2002
Amr El Abbadi,journals/vldb/AbbadiSW01,2001
Gunter Schlageter,journals/vldb/AbbadiSW01,2001
Kyu-Young Whang,journals/vldb/AbbadiSW01,2001
Stanley Y. W. Su,journals/vldb/SuHHHLWLPLL01,2001
Joachim Hammer,journals/vldb/SuHHHLWLPLL01,2001
Herman Lam,journals/vldb/SuHHHLWLPLL01,2001
Yannis Manolopoulos,journals/vldb/NanopoulosM02,2002
Malcolm P. Atkinson,journals/vldb/HuntAI02,2002
Robert W. Irving,journals/vldb/HuntAI02,2002
Dominique Laurent,journals/vldb/LaurentLSV01,2001
Nicolas Spyratos,journals/vldb/LaurentLSV01,2001
Gottfried Vossen,journals/vldb/LaurentLSV01,2001
Jeffrey D. Case,journals/rfc/rfc3412,2002
Dave Harrington,journals/rfc/rfc3412,2002
Randy Presuhn,journals/rfc/rfc3412,2002
Bert Wijnen,journals/rfc/rfc3412,2002
Donald E. Eastlake III,journals/rfc/rfc3354,2002
Shai Herzog,journals/rfc/rfc3181,2001
Yoram Bernet,journals/rfc/rfc3290,2002
Andrew Smith,journals/rfc/rfc3290,2002
Mike Daniele,journals/rfc/rfc3291,2002
Jürgen Schönwälder,journals/rfc/rfc3291,2002
Russell Housley,journals/rfc/rfc3217,2001
Michael Mealling,journals/rfc/rfc3402,2002
Henning Schulzrinne,journals/rfc/rfc3388,2002
James Kempf,journals/rfc/rfc3154,2001
Claude Castelluccia,journals/rfc/rfc3154,2001
Ramachandran Ramjee,journals/rfc/rfc3154,2001
Behçet Sarikaya,journals/rfc/rfc3154,2001
Geoff Huston,journals/rfc/rfc3172,2001
Glenn W. Parsons,journals/rfc/rfc3362,2002
Juha Heinänen,journals/rfc/rfc3270,2002
Gerald R. Ash,journals/rfc/rfc3214,2002
Li Li,journals/rfc/rfc3214,2002
Yakov Rekhter,journals/rfc/rfc3107,2001
Eric C. Rosen,journals/rfc/rfc3107,2001
Scott O. Bradner,journals/rfc/rfc3113,2001
John C. Klensin,journals/rfc/rfc3113,2001
Hari Balakrishnan,journals/rfc/rfc3124,2001
Srinivasan Seshan,journals/rfc/rfc3124,2001
Randy Presuhn,journals/rfc/rfc3416,2002
Roy Pereira,journals/rfc/rfc3173,2001
Matt Thomas,journals/rfc/rfc3173,2001
Pyda Srisuresh,journals/rfc/rfc3022,2001
Marshall T. Rose,journals/rfc/rfc3341,2002
Graham Klyne,journals/rfc/rfc3341,2002
Carsten Bormann,journals/rfc/rfc3241,2002
Jonathan D. Rosenberg,journals/rfc/rfc3312,2002
Tony Przygienda,journals/rfc/rfc3359,2002
Lloyd McIntyre,journals/rfc/rfc3250,2002
Glenn W. Parsons,journals/rfc/rfc3250,2002
James Rafferty,journals/rfc/rfc3250,2002
Scott O. Bradner,journals/rfc/rfc3131,2001
Pat R. Calhoun,journals/rfc/rfc3131,2001
David L. Black,journals/rfc/rfc3140,2001
Brian E. Carpenter,journals/rfc/rfc3140,2001
Mike Gahrns,journals/rfc/rfc3285,2002
Steven Waldbusser,journals/rfc/rfc3273,2002
Robert G. Herriot,journals/rfc/rfc3380,2002
Graham Klyne,journals/rfc/rfc3297,2002
Dave Crocker,journals/rfc/rfc3297,2002
Uri Blumenthal,journals/rfc/rfc3414,2002
Bert Wijnen,journals/rfc/rfc3414,2002
Andy Bierman,journals/rfc/rfc3395,2002
Sally Floyd,journals/rfc/rfc3360,2002
Lorenzo Vicisano,journals/rfc/rfc3048,2001
Roger G. Kermode,journals/rfc/rfc3048,2001
Mark Handley,journals/rfc/rfc3048,2001
Sally Floyd,journals/rfc/rfc3048,2001
Michael Luby,journals/rfc/rfc3048,2001
Dan Romascanu,journals/rfc/rfc3144,2001
Michael Luby,journals/rfc/rfc3452,2002
Lorenzo Vicisano,journals/rfc/rfc3452,2002
Jim Gemmell,journals/rfc/rfc3452,2002
Luigi Rizzo,journals/rfc/rfc3452,2002
Mark Handley,journals/rfc/rfc3452,2002
Jon Crowcroft,journals/rfc/rfc3452,2002
Michael S. Borella,journals/rfc/rfc3103,2001
Thomas Narten,journals/rfc/rfc3041,2001
Sally Floyd,journals/rfc/rfc3426,2002
Bernard Aboba,journals/rfc/rfc3397,2002
Ryan Moats,journals/rfc/rfc3384,2002
Rick Huber,journals/rfc/rfc3384,2002
Qiaobing Xie,journals/rfc/rfc3267,2002
Stephen L. Casner,journals/rfc/rfc3190,2002
Carsten Bormann,journals/rfc/rfc3190,2002
Jonathan D. Rosenberg,journals/rfc/rfc3263,2002
Henning Schulzrinne,journals/rfc/rfc3263,2002
James Kempf,journals/rfc/rfc3132,2001
Michael S. Borella,journals/rfc/rfc3102,2001
Brian E. Carpenter,journals/rfc/rfc3234,2002
Olafur Gudmundsson,journals/rfc/rfc3226,2001
Bob Moore,journals/rfc/rfc3060,2001
Magnus Nyström,journals/rfc/rfc3039,2001
David Thaler,journals/rfc/rfc3306,2002
Jon Crowcroft,journals/rfc/rfc3208,2001
Jim Gemmell,journals/rfc/rfc3208,2001
Dino Farinacci,journals/rfc/rfc3208,2001
Michael Luby,journals/rfc/rfc3208,2001
Luigi Rizzo,journals/rfc/rfc3208,2001
Lorenzo Vicisano,journals/rfc/rfc3208,2001
Russell Housley,journals/rfc/rfc3280,2002
Warwick Ford,journals/rfc/rfc3280,2002
Paul Traina,journals/rfc/rfc3065,2001
Ravishanker Chandra,journals/rfc/rfc3392,2002
Spencer Dawkins,journals/rfc/rfc3155,2001
Markku Kojo,journals/rfc/rfc3155,2001
Nitin H. Vaidya,journals/rfc/rfc3155,2001
Michael Mealling,journals/rfc/rfc3043,2001
Thomas N. Hastings,journals/rfc/rfc3196,2001
Vint Cerf,journals/rfc/rfc3271,2002
Ralph E. Droms,journals/rfc/rfc3118,2001
Marshall T. Rose,journals/rfc/rfc3349,2002
Mikael Degermark,journals/rfc/rfc3096,2001
Carlisle Adams,journals/rfc/rfc3161,2001
Robert J. Zuccherato,journals/rfc/rfc3161,2001
Michael Mealling,journals/rfc/rfc3405,2002
Jürgen Schönwälder,journals/rfc/rfc3430,2002
Marshall T. Rose,journals/rfc/rfc3081,2001
Mark A. Beadles,journals/rfc/rfc3169,2001
David Mitton,journals/rfc/rfc3169,2001
Donald E. Eastlake III,journals/rfc/rfc3275,2002
Gopal Dommety,journals/rfc/rfc3025,2001
Michael Mealling,journals/rfc/rfc3403,2002
Hui-Lan Lu,journals/rfc/rfc3136,2001
Gerald R. Ash,journals/rfc/rfc3213,2002
David Meyer,journals/rfc/rfc3167,2001
Sally Floyd,journals/rfc/rfc3238,2002
Leslie Daigle,journals/rfc/rfc3238,2002
Robert Braden,journals/rfc/rfc3097,2001
Lixia Zhang 0001,journals/rfc/rfc3097,2001
Erik Guttman,journals/rfc/rfc3111,2001
Matt Mathis,journals/rfc/rfc3148,2001
Mark Allman,journals/rfc/rfc3148,2001
Lou Berger,journals/rfc/rfc3209,2001
Tony Li,journals/rfc/rfc3209,2001
Vijay Srinivasan,journals/rfc/rfc3209,2001
Dave Katz,journals/rfc/rfc3373,2002
Joyce K. Reynolds,journals/rfc/rfc3300,2002
Robert Braden,journals/rfc/rfc3300,2002
Tony Przygienda,journals/rfc/rfc3358,2002
Jeffrey D. Case,journals/rfc/rfc3410,2002
Bob Stewart,journals/rfc/rfc3410,2002
Gabriel Montenegro,journals/rfc/rfc3024,2001
Scott O. Bradner,journals/rfc/rfc3356,2002
Bernard Sales,journals/rfc/rfc3301,2002
Henning Schulzrinne,journals/rfc/rfc3326,2002
Harald Tveit Alvestrand,journals/rfc/rfc3254,2002
Jonathan D. Rosenberg,journals/rfc/rfc3261,2002
Henning Schulzrinne,journals/rfc/rfc3261,2002
Mark Handley,journals/rfc/rfc3261,2002
Eve M. Schooler,journals/rfc/rfc3261,2002
James Kempf,journals/rfc/rfc3374,2002
Allison Mankin,journals/rfc/rfc3427,2002
Scott O. Bradner,journals/rfc/rfc3427,2002
Jörg Ott,journals/rfc/rfc3427,2002
Brian Rosen,journals/rfc/rfc3427,2002
Claudio Allocchio,journals/rfc/rfc3191,2001
Leslie Daigle,journals/rfc/rfc3406,2002
Renato Iannella,journals/rfc/rfc3406,2002
Patrik Faltstrom,journals/rfc/rfc3406,2002
Dave Harrington,journals/rfc/rfc3411,2002
Randy Presuhn,journals/rfc/rfc3411,2002
Bert Wijnen,journals/rfc/rfc3411,2002
Kathleen M. Nichols,journals/rfc/rfc3086,2001
Brian E. Carpenter,journals/rfc/rfc3086,2001
Erik Guttman,journals/rfc/rfc3059,2001
Mark Allman,journals/rfc/rfc3390,2002
Sally Floyd,journals/rfc/rfc3390,2002
Craig Partridge,journals/rfc/rfc3390,2002
Graham Klyne,journals/rfc/rfc3342,2002
Marshall T. Rose,journals/rfc/rfc3342,2002
Michael F. Schwartz,journals/rfc/rfc3342,2002
David B. Levi,journals/rfc/rfc3413,2002
Paul Meyer,journals/rfc/rfc3413,2002
Bob Stewart,journals/rfc/rfc3413,2002
Jeffrey C. Mogul,journals/rfc/rfc3230,2002
Greg Sidebottom,journals/rfc/rfc3332,2002
Stephen L. Casner,journals/rfc/rfc3189,2002
Carsten Bormann,journals/rfc/rfc3189,2002
Gurdeep Singh Pall,journals/rfc/rfc3078,2001
Glen Zorn,journals/rfc/rfc3078,2001
Michael Mealling,journals/rfc/rfc3368,2002
Colin Perkins,journals/rfc/rfc3158,2001
Jonathan D. Rosenberg,journals/rfc/rfc3158,2001
Henning Schulzrinne,journals/rfc/rfc3158,2001
Jürgen Schönwälder,journals/rfc/rfc3179,2001
Alex Conta,journals/rfc/rfc3122,2001
Russell Housley,journals/rfc/rfc3378,2002
Steve Deering,journals/rfc/rfc3376,2002
Jonathan D. Rosenberg,journals/rfc/rfc3311,2002
Charles E. Perkins,journals/rfc/rfc3344,2002
Jeffrey C. Mogul,journals/rfc/rfc3229,2002
Balachander Krishnamurthy,journals/rfc/rfc3229,2002
Fred Douglis,journals/rfc/rfc3229,2002
Anja Feldmann,journals/rfc/rfc3229,2002
Stephen Farrell,journals/rfc/rfc3185,2001
James Kempf,journals/rfc/rfc3082,2001
Marshall T. Rose,journals/rfc/rfc3288,2002
Paul E. Hoffman,journals/rfc/rfc3207,2002
Keith McCloghrie,journals/rfc/rfc3139,2001
Jon Saperia,journals/rfc/rfc3139,2001
Dan Grossman,journals/rfc/rfc3260,2002
Spencer Dawkins,journals/rfc/rfc3150,2001
Gabriel Montenegro,journals/rfc/rfc3150,2001
Markku Kojo,journals/rfc/rfc3150,2001
Charles E. Perkins,journals/rfc/rfc3220,2002
Jürgen Schönwälder,journals/rfc/rfc3216,2001
Michael Mealling,journals/rfc/rfc3404,2002
Henning Schulzrinne,journals/rfc/rfc3421,2002
Erik Guttman,journals/rfc/rfc3421,2002
Chatschik Bisdikian,journals/rfc/rfc3421,2002
Kevin C. Almeroth,journals/rfc/rfc3170,2001
Anna Charny,journals/rfc/rfc3247,2002
Jon C. R. Bennett,journals/rfc/rfc3247,2002
Jean-Yves Le Boudec,journals/rfc/rfc3247,2002
Victor Firoiu,journals/rfc/rfc3247,2002
Charles R. Kalmanek,journals/rfc/rfc3247,2002
K. K. Ramakrishnan,journals/rfc/rfc3247,2002
Russell Housley,journals/rfc/rfc3279,2002
John C. Klensin,journals/rfc/rfc2821,2001
Robert G. Herriot,journals/rfc/rfc3391,2002
Silvano Gai,journals/rfc/rfc3084,2001
Keith McCloghrie,journals/rfc/rfc3084,2001
Shai Herzog,journals/rfc/rfc3084,2001
Raj Yavatkar,journals/rfc/rfc3084,2001
Andrew Smith,journals/rfc/rfc3084,2001
Bernard Sales,journals/rfc/rfc3353,2002
Arup Acharya,journals/rfc/rfc3353,2002
Jonathan D. Rosenberg,journals/rfc/rfc3219,2002
Matthew B. Squire,journals/rfc/rfc3219,2002
Donald E. Eastlake III,journals/rfc/rfc3174,2001
John Klensin,journals/rfc/rfc3245,2002
Internet Architecture Board,journals/rfc/rfc3245,2002
Paul E. Hoffman,journals/rfc/rfc3233,2002
Scott O. Bradner,journals/rfc/rfc3233,2002
Kenichi Nagami,journals/rfc/rfc3038,2001
Yasuhiro Katsube,journals/rfc/rfc3038,2001
Hiroshi Esaki,journals/rfc/rfc3038,2001
Randy Bush,journals/rfc/rfc3439,2002
David Meyer,journals/rfc/rfc3439,2002
Pyda Srisuresh,journals/rfc/rfc3303,2002
Jonathan D. Rosenberg,journals/rfc/rfc3303,2002
Scott O. Bradner,journals/rfc/rfc3093,2001
Geoff Huston,journals/rfc/rfc3221,2001
Osamu Okamoto,journals/rfc/rfc3422,2002
Mitsuru Maruyama,journals/rfc/rfc3422,2002
Jeffrey C. Mogul,journals/rfc/rfc3284,2002
Kiem-Phong Vo,journals/rfc/rfc3284,2002
Anna Charny,journals/rfc/rfc3246,2002
Jon C. R. Bennett,journals/rfc/rfc3246,2002
Jean-Yves Le Boudec,journals/rfc/rfc3246,2002
Victor Firoiu,journals/rfc/rfc3246,2002
Dimitrios Stiliadis,journals/rfc/rfc3246,2002
Ross W. Callon,journals/rfc/rfc3212,2002
Muckai K. Girish,journals/rfc/rfc3212,2002
Juha Heinänen,journals/rfc/rfc3212,2002
Andrew G. Malis,journals/rfc/rfc3212,2002
David Mitton,journals/rfc/rfc3127,2001
Mike St. Johns,journals/rfc/rfc3127,2001
Russell Housley,journals/rfc/rfc3379,2002
Michael Mealling,journals/rfc/rfc3305,2002
Henning Schulzrinne,journals/rfc/rfc3361,2002
Joyce K. Reynolds,journals/rfc/rfc2800,2001
Robert Braden,journals/rfc/rfc2800,2001
Michael S. Borella,journals/rfc/rfc3104,2001
Bernard Aboba,journals/rfc/rfc3162,2001
Glen Zorn,journals/rfc/rfc3162,2001
David Mitton,journals/rfc/rfc3162,2001
Daniel Senie,journals/rfc/rfc3235,2002
Leslie Daigle,journals/rfc/rfc3424,2002
Internet Architecture Board,journals/rfc/rfc3424,2002
Andy Bierman,journals/rfc/rfc3434,2002
Keith McCloghrie,journals/rfc/rfc3434,2002
Hari Balakrishnan,journals/rfc/rfc3449,2002
Venkata N. Padmanabhan,journals/rfc/rfc3449,2002
Stephen Farrell,journals/rfc/rfc3281,2002
Russell Housley,journals/rfc/rfc3281,2002
Dan Romascanu,journals/rfc/rfc3055,2001
Qiaobing Xie,journals/rfc/rfc3237,2002
Carlisle Adams,journals/rfc/rfc3029,2001
Robert J. Zuccherato,journals/rfc/rfc3029,2001
Andy Bierman,journals/rfc/rfc3287,2002
Michael Luby,journals/rfc/rfc3451,2002
Jim Gemmell,journals/rfc/rfc3451,2002
Lorenzo Vicisano,journals/rfc/rfc3451,2002
Luigi Rizzo,journals/rfc/rfc3451,2002
Mark Handley,journals/rfc/rfc3451,2002
Jon Crowcroft,journals/rfc/rfc3451,2002
Greg Sidebottom,journals/rfc/rfc3331,2002
Jonathan D. Rosenberg,journals/rfc/rfc3428,2002
Henning Schulzrinne,journals/rfc/rfc3428,2002
Christian Huitema,journals/rfc/rfc3428,2002
Kevin C. Almeroth,journals/rfc/rfc3171,2001
David Meyer,journals/rfc/rfc3171,2001
Marshall T. Rose,journals/rfc/rfc3195,2001
Keith McCloghrie,journals/rfc/rfc3159,2001
Andrew Smith,journals/rfc/rfc3159,2001
Carsten Bormann,journals/rfc/rfc3095,2001
Mikael Degermark,journals/rfc/rfc3095,2001
Graham Klyne,journals/rfc/rfc3339,2002
Chris Newman,journals/rfc/rfc3339,2002
Walid Dabbous,journals/rfc/rfc3077,2001
Yongguang Zhang,journals/rfc/rfc3077,2001
Matt Holdrege,journals/rfc/rfc3027,2001
Pyda Srisuresh,journals/rfc/rfc3027,2001
Ross S. Finlayson,journals/rfc/rfc3119,2001
Roger K. DeBry,journals/rfc/rfc3382,2002
Robert G. Herriot,journals/rfc/rfc3382,2002
Henning Schulzrinne,journals/rfc/rfc3050,2001
Jonathan D. Rosenberg,journals/rfc/rfc3050,2001
Baiju V. Patel,journals/rfc/rfc3193,2001
Bernard Aboba,journals/rfc/rfc3193,2001
Glen Zorn,journals/rfc/rfc3193,2001
Randy Presuhn,journals/rfc/rfc3417,2002
Alex Conta,journals/rfc/rfc3034,2001
Andrew G. Malis,journals/rfc/rfc3034,2001
David Meyer,journals/rfc/rfc3166,2001
Erik Guttman,journals/rfc/rfc3224,2002
Wai Sum Lai,journals/rfc/rfc3346,2002
Raj Yavatkar,journals/rfc/rfc3182,2001
Peter Ford,journals/rfc/rfc3182,2001
Shai Herzog,journals/rfc/rfc3182,2001
Russell Housley,journals/rfc/rfc3394,2002
Joyce K. Reynolds,journals/rfc/rfc2900,2001
Robert Braden,journals/rfc/rfc2900,2001
Greg Sidebottom,journals/rfc/rfc3057,2001
Michael Mealling,journals/rfc/rfc3401,2002
Randall Gellens,journals/rfc/rfc3206,2002
Marshall T. Rose,journals/rfc/rfc3117,2001
Eric C. Rosen,journals/rfc/rfc3031,2001
Ross W. Callon,journals/rfc/rfc3031,2001
Keith Moore,journals/rfc/rfc3205,2002
Michael Mealling,journals/rfc/rfc3367,2002
Brian E. Carpenter,journals/rfc/rfc3056,2001
Keith Moore,journals/rfc/rfc3056,2001
Randy Presuhn,journals/rfc/rfc3418,2002
David Meyer,journals/rfc/rfc3180,2001
Pat R. Calhoun,journals/rfc/rfc3371,2002
Jörg Ott,journals/rfc/rfc3259,2002
Colin Perkins,journals/rfc/rfc3259,2002
Yasuhiro Katsube,journals/rfc/rfc3063,2001
Eric C. Rosen,journals/rfc/rfc3063,2001
Donald E. Eastlake III,journals/rfc/rfc3075,2001
Hui-Lan Lu,journals/rfc/rfc3298,2002
Donald E. Eastlake III,journals/rfc/rfc3106,2001
Dafna Sheinwald,journals/rfc/rfc3385,2002
Joyce K. Reynolds,journals/rfc/rfc3000,2001
Robert Braden,journals/rfc/rfc3000,2001
Anwar Elwalid,journals/rfc/rfc3272,2002
Indra Widjaja,journals/rfc/rfc3272,2002
Bala Rajagopalan,journals/rfc/rfc3251,2002
Tom Hiller,journals/rfc/rfc3141,2001
Xing Chen,journals/rfc/rfc3141,2001
Gopal Dommety,journals/rfc/rfc3141,2001
Peter J. McCann,journals/rfc/rfc3141,2001
Raymond T. Hsu,journals/rfc/rfc3141,2001
Pat R. Calhoun,journals/rfc/rfc3141,2001
David B. Levi,journals/rfc/rfc3165,2001
Jürgen Schönwälder,journals/rfc/rfc3165,2001
Fred Baker,journals/rfc/rfc3289,2002
Andrew Smith,journals/rfc/rfc3289,2002
Paul E. Hoffman,journals/rfc/rfc3454,2002
Fred Baker,journals/rfc/rfc3175,2001
Marshall T. Rose,journals/rfc/rfc3340,2002
Graham Klyne,journals/rfc/rfc3340,2002
Donald E. Eastlake III,journals/rfc/rfc3098,2001
Robert Braden,journals/rfc/rfc3109,2001
Randy Bush,journals/rfc/rfc3109,2001
John C. Klensin,journals/rfc/rfc3109,2001
John C. Klensin,journals/rfc/rfc3071,2001
Michael Luby,journals/rfc/rfc3450,2002
Jim Gemmell,journals/rfc/rfc3450,2002
Lorenzo Vicisano,journals/rfc/rfc3450,2002
Luigi Rizzo,journals/rfc/rfc3450,2002
Jon Crowcroft,journals/rfc/rfc3450,2002
Internet Architecture Board,journals/rfc/rfc3177,2001
Internet Engineering Steering Group,journals/rfc/rfc3177,2001
Randy Bush,journals/rfc/rfc3363,2002
Robert L. Fink,journals/rfc/rfc3363,2002
Olafur Gudmundsson,journals/rfc/rfc3363,2002
Michael Luby,journals/rfc/rfc3453,2002
Lorenzo Vicisano,journals/rfc/rfc3453,2002
Jim Gemmell,journals/rfc/rfc3453,2002
Luigi Rizzo,journals/rfc/rfc3453,2002
Mark Handley,journals/rfc/rfc3453,2002
Jon Crowcroft,journals/rfc/rfc3453,2002
Christian Huitema,journals/rfc/rfc3194,2001
David Meyer,journals/rfc/rfc3138,2001
Shai Herzog,journals/rfc/rfc3198,2001
Steven Waldbusser,journals/rfc/rfc3198,2001
Markku Kojo,journals/rfc/rfc3135,2001
Gabriel Montenegro,journals/rfc/rfc3135,2001
Pat R. Calhoun,journals/rfc/rfc3308,2002
Wei Luo,journals/rfc/rfc3308,2002
Claudio Allocchio,journals/rfc/rfc3192,2001
Donald E. Eastlake III,journals/rfc/rfc3110,2001
Grenville Armitage,journals/rfc/rfc3248,2002
Brian E. Carpenter,journals/rfc/rfc3248,2002
Jon Crowcroft,journals/rfc/rfc3248,2002
Joel M. Halpern,journals/rfc/rfc3248,2002
Brijesh Kumar,journals/rfc/rfc3248,2002
Jonathan D. Rosenberg,journals/rfc/rfc3264,2002
Henning Schulzrinne,journals/rfc/rfc3264,2002
David B. Levi,journals/rfc/rfc3231,2002
Jürgen Schönwälder,journals/rfc/rfc3231,2002
Keith McCloghrie,journals/rfc/rfc3035,2001
Eric C. Rosen,journals/rfc/rfc3035,2001
Yakov Rekhter,journals/rfc/rfc3035,2001
Gopal Dommety,journals/rfc/rfc3115,2001
Andy Bierman,journals/rfc/rfc3433,2002
Dan Romascanu,journals/rfc/rfc3433,2002
Erik Nordmark,journals/rfc/rfc3338,2002
John Dilley,journals/rfc/rfc3143,2001
Ken Murakami,journals/rfc/rfc3186,2001
Eric Rescorla,journals/rfc/rfc3218,2002
James Kempf,journals/rfc/rfc3105,2001
Donald E. Eastlake III,journals/rfc/rfc3092,2001
Eric S. Raymond,journals/rfc/rfc3092,2001
Bert Wijnen,journals/rfc/rfc3415,2002
Randy Presuhn,journals/rfc/rfc3415,2002
Keith McCloghrie,journals/rfc/rfc3415,2002
Eric Rescorla,journals/rfc/rfc3436,2002
Hiroshi Tamura,journals/rfc/rfc3249,2002
Dan Wing,journals/rfc/rfc3249,2002
Harald Tveit Alvestrand,journals/rfc/rfc3282,2002
Lou Berger,journals/rfc/rfc2961,2001
Ted Hardie,journals/rfc/rfc3258,2002
Randy Bush,journals/rfc/rfc3152,2001
K. K. Ramakrishnan,journals/rfc/rfc3168,2001
Sally Floyd,journals/rfc/rfc3168,2001
David L. Black,journals/rfc/rfc3168,2001
Mark Allman,journals/rfc/rfc3042,2001
Hari Balakrishnan,journals/rfc/rfc3042,2001
Sally Floyd,journals/rfc/rfc3042,2001
Jonathan D. Rosenberg,journals/rfc/rfc3262,2002
Henning Schulzrinne,journals/rfc/rfc3262,2002
Joyce K. Reynolds,journals/rfc/rfc3232,2002
Stephen Farrell,journals/rfc/rfc3157,2001
Christian Huitema,journals/rfc/rfc3068,2001
