source,target
Elena V. Ignatieva,Olga A. Podkolodnaya
Elena V. Ignatieva,Irina L. Stepanenko
Elena V. Ignatieva,Tatyana I. Merkulova
Elena V. Ignatieva,Nikolay L. Podkolodny
Elena V. Ignatieva,Andrey N. Naumochkin
Elena V. Ignatieva,Aida G. Romashchenko
Elena A. Ananko,Olga A. Podkolodnaya
Elena A. Ananko,Irina L. Stepanenko
Elena A. Ananko,Tatyana I. Merkulova
Elena A. Ananko,Nikolay L. Podkolodny
Elena A. Ananko,Andrey N. Naumochkin
Elena A. Ananko,Aida G. Romashchenko
Olga A. Podkolodnaya,Irina L. Stepanenko
Olga A. Podkolodnaya,Tatyana I. Merkulova
Olga A. Podkolodnaya,Andrey N. Naumochkin
Olga A. Podkolodnaya,Aida G. Romashchenko
Irina L. Stepanenko,Tatyana I. Merkulova
Irina L. Stepanenko,Nikolay L. Podkolodny
Irina L. Stepanenko,Andrey N. Naumochkin
Irina L. Stepanenko,Aida G. Romashchenko
Tatyana I. Merkulova,Nikolay L. Podkolodny
Tatyana I. Merkulova,Andrey N. Naumochkin
Tatyana I. Merkulova,Aida G. Romashchenko
Nikolay L. Podkolodny,Andrey N. Naumochkin
Nikolay L. Podkolodny,Aida G. Romashchenko
Andrey N. Naumochkin,Aida G. Romashchenko
Diane E. Oliver,Russ B. Altman
Christian Iseli,Thomas Junier
Christian Iseli,Philipp Bucher
Aron Marchler-Bauer,Stephen H. Bryant
Jian Lu,Anne E. Kwitek
Jian Lu,Janan T. Eppig
Anne E. Kwitek,Janan T. Eppig
Richard J. Mural,Jinghui Zhang
Paolo Zaccaria,Hans-Werner Mewes
Patricia Rodriguez-Tomé,Philip Lijnzaad
Rolf Apweiler,Terri K. Attwood
Rolf Apweiler,Alex Bateman
Rolf Apweiler,Ewan Birney
Rolf Apweiler,Philipp Bucher
Rolf Apweiler,Florence Corpet
Rolf Apweiler,Richard Durbin
Rolf Apweiler,Jérôme Gouzy
Rolf Apweiler,Henning Hermjakob
Rolf Apweiler,Inge Jonassen
Rolf Apweiler,Daniel Kahn
Rolf Apweiler,Beate Marx
Terri K. Attwood,Amos Bairoch
Terri K. Attwood,Alex Bateman
Terri K. Attwood,Ewan Birney
Terri K. Attwood,Philipp Bucher
Terri K. Attwood,Florence Corpet
Terri K. Attwood,Richard Durbin
Terri K. Attwood,Wolfgang Fleischmann
Terri K. Attwood,Jérôme Gouzy
Terri K. Attwood,Henning Hermjakob
Terri K. Attwood,Inge Jonassen
Terri K. Attwood,Daniel Kahn
Terri K. Attwood,Beate Marx
Amos Bairoch,Alex Bateman
Amos Bairoch,Ewan Birney
Amos Bairoch,Florence Corpet
Amos Bairoch,Richard Durbin
Amos Bairoch,Wolfgang Fleischmann
Amos Bairoch,Jérôme Gouzy
Amos Bairoch,Henning Hermjakob
Amos Bairoch,Inge Jonassen
Amos Bairoch,Daniel Kahn
Amos Bairoch,Beate Marx
Alex Bateman,Philipp Bucher
Alex Bateman,Florence Corpet
Alex Bateman,Wolfgang Fleischmann
Alex Bateman,Jérôme Gouzy
Alex Bateman,Henning Hermjakob
Alex Bateman,Inge Jonassen
Alex Bateman,Daniel Kahn
Alex Bateman,Beate Marx
Ewan Birney,Philipp Bucher
Ewan Birney,Florence Corpet
Ewan Birney,Wolfgang Fleischmann
Ewan Birney,Jérôme Gouzy
Ewan Birney,Henning Hermjakob
Ewan Birney,Inge Jonassen
Ewan Birney,Daniel Kahn
Ewan Birney,Beate Marx
Philipp Bucher,Florence Corpet
Philipp Bucher,Richard Durbin
Philipp Bucher,Wolfgang Fleischmann
Philipp Bucher,Jérôme Gouzy
Philipp Bucher,Henning Hermjakob
Philipp Bucher,Inge Jonassen
Philipp Bucher,Daniel Kahn
Philipp Bucher,Beate Marx
Florence Corpet,Richard Durbin
Florence Corpet,Wolfgang Fleischmann
Florence Corpet,Jérôme Gouzy
Florence Corpet,Henning Hermjakob
Florence Corpet,Inge Jonassen
Florence Corpet,Daniel Kahn
Florence Corpet,Beate Marx
Richard Durbin,Wolfgang Fleischmann
Richard Durbin,Jérôme Gouzy
Richard Durbin,Henning Hermjakob
Richard Durbin,Inge Jonassen
Richard Durbin,Daniel Kahn
Richard Durbin,Beate Marx
Wolfgang Fleischmann,Jérôme Gouzy
Wolfgang Fleischmann,Henning Hermjakob
Wolfgang Fleischmann,Inge Jonassen
Wolfgang Fleischmann,Daniel Kahn
Wolfgang Fleischmann,Beate Marx
Jérôme Gouzy,Henning Hermjakob
Jérôme Gouzy,Inge Jonassen
Jérôme Gouzy,Daniel Kahn
Jérôme Gouzy,Beate Marx
Henning Hermjakob,Inge Jonassen
Henning Hermjakob,Daniel Kahn
Henning Hermjakob,Beate Marx
Inge Jonassen,Daniel Kahn
Inge Jonassen,Beate Marx
Daniel Kahn,Beate Marx
Dennis A. Benson,David J. Lipman
Dennis A. Benson,James Ostell
Dennis A. Benson,Barbara A. Rapp
Dennis A. Benson,David L. Wheeler
David J. Lipman,James Ostell
David J. Lipman,Barbara A. Rapp
David J. Lipman,David L. Wheeler
James Ostell,Barbara A. Rapp
James Ostell,David L. Wheeler
Guenter Stoesser,Peter Sterk
Guenter Stoesser,Peter Stoehr
Guenter Stoesser,Mary Ann Tuli
Peter Sterk,Peter Stoehr
Peter Sterk,Mary Ann Tuli
Peter Stoehr,Mary Ann Tuli
Olga V. Kel-Margoulis,Alexander E. Kel
Olga V. Kel-Margoulis,Ingmar Reuter
Olga V. Kel-Margoulis,Edgar Wingender
Alexander E. Kel,Ingmar Reuter
Alexander E. Kel,Edgar Wingender
Ingmar Reuter,Edgar Wingender
Antje Krause,Eivind Coward
Antje Krause,Martin Vingron
Eivind Coward,Martin Vingron
Yoshio Tateno,Satoru Miyazaki
Yoshio Tateno,Hideaki Sugawara
Yoshio Tateno,Takashi Gojobori
Satoru Miyazaki,Takashi Gojobori
Hideaki Sugawara,Takashi Gojobori
Peter De Rijk,Yves Van de Peer
Peter De Rijk,Rupert De Wachter
Yves Van de Peer,Rupert De Wachter
Edgar Wingender,Xin Chen
Yves Van de Peer,John Shawe-Taylor
Julie Dawn Thompson,Olivier Poch
Janet M. Thornton,Christine A. Orengo
Brian P. Brunk,Li Li
Li Li,Christian J. Stoeckert Jr.
Peter D. Karp,Julio Collado-Vides
Monica Riley,Julio Collado-Vides
Julio Collado-Vides,Suzanne M. Paley
Julio Collado-Vides,Alida Pellegrini-Toole
Heladia Salgado,Julio Collado-Vides
Darren R. Flower,Limsoon Wong
Darren R. Flower,Vladimir Brusic
Limsoon Wong,Vladimir Brusic
Cathy H. Wu,Jian Zhang
Hongzhan Huang,Jian Zhang
Robert S. Ledley,Jian Zhang
Hans-Werner Mewes,Jian Zhang
Bruce C. Orcutt,Jian Zhang
Akira Tsugita,Jian Zhang
Lai-Su L. Yeh,Jian Zhang
Jian Zhang,Winona C. Barker
Mikhail P. Ponomarenko,Luciano Milanesi
Luciano Milanesi,Nikolay A. Kolchanov
Sharmila Banerjee-Basu,Andreas D. Baxevanis
John B. Anderson,Aron Marchler-Bauer
John B. Anderson,Stephen H. Bryant
Roman A. Laskowski,Janet M. Thornton
Susumu Goto,Takaaki Nishioka
Takaaki Nishioka,Minoru Kanehisa
Kai-Tai Song,Ching-Cheng Teng
Gilead Tadmor,Andrzej Banaszuk
Gerardo Escobar,Romeo Ortega
Roland P. Malhamé,Michel Perrier
Bor-Sen Chen,Chun-Liang Lin
Hong Liu,Gang Tao
Hong Seong Park,Yong Ho Kim
Hong Seong Park,Wook Hyun Kwon
Yong Ho Kim,Wook Hyun Kwon
François Baccelli,Bruno Gaujal
François Baccelli,Daniel Simon
Bruno Gaujal,Daniel Simon
Mario Sznaier,Pablo A. Parrilo
Mario Sznaier,Ricardo S. Sánchez Peña
Pablo A. Parrilo,Ricardo S. Sánchez Peña
George A. Rovithakis,Manolis A. Christodoulou
Marco Lovera,Sergio Bittanti
Richard J. Adams,Blake Hannaford
J. Karl Hedrick,Masayoshi Tomizuka
Yeong-Chan Chang,Bor-Sen Chen
Tor Arne Johansen,Olav Egeland
Ilya V. Kolmanovsky,Anna G. Stefanopoulou
Zidong Wang,Daniel W. C. Ho
Zidong Wang,Heinz Unbehauen
Daniel W. C. Ho,Heinz Unbehauen
Weng Khuen Ho,T. H. Lee
Dawn M. Tilbury,Nandit Soparkar
Han-Xiong Li,S. K. Tso
Han-Shue Tan,Masayoshi Tomizuka
Septimiu E. Salcudean,Peter D. Lawrence
Giuseppe Oriolo,Marilena Vendittelli
Alessandro De Luca 0001,Marilena Vendittelli
Ben M. Chen,Tong Heng Lee
Stjepan Bogdan,Frank L. Lewis
K. A. Morris,David W. L. Wang
Marc Bodson,Scott C. Douglas
Hoang Duong Tuan,Eiichi Ono
Hoang Duong Tuan,Shigeyuki Hosoe
Eiichi Ono,Pierre Apkarian
Eiichi Ono,Shigeyuki Hosoe
Pierre Apkarian,Shigeyuki Hosoe
Stefano Chiaverini,Nilanjan Sarkar
Peter Ingwersen,Ed C. M. Noyons
Rita Marcella,Graeme Baxter
Rita Marcella,Nick Moore
Graeme Baxter,Nick Moore
Howard Greisdorf,Brian C. O'Connor
Ger Koole,Philippe Nain
Henk Norde,Stef Tijs
Jesús Mario Bilbao,Theo S. H. Driessen
Jesús Mario Bilbao,Esperanza A. Lebrón
Theo S. H. Driessen,Esperanza A. Lebrón
Tyrone E. Duncan,Lukasz Stettner
Bozenna Pasik-Duncan,Lukasz Stettner
Armen S. Asratian,Nikolai N. Kuzjurin
Justo Puerto,Ignacio García-Jurado
Ignacio García-Jurado,Francisco R. Fernández
Michael Jünger,Rüdiger Schultz
Michael Jünger,Robert Weismantel
Rüdiger Schultz,Robert Weismantel
Ke Liu,Jerzy A. Filar
Wilfried Grecksch,Christiane Tammer
Adam N. Letchford,Andrea Lodi 0001
Panos K. Chrysanthis,George Samaras
Panos K. Chrysanthis,Evaggelia Pitoura
Dimitrios Georgakopoulos,Hans Schuster
Dimitrios Georgakopoulos,Andrzej Cichocki
Hans Schuster,Andrzej Cichocki
Chitta Baral,Jorge Lobo 0001
Arthur H. M. ter Hofstede,Peter Bruza
Diego Calvanese,Daniele Nardi
Diego Calvanese,Riccardo Rosati
Giuseppe De Giacomo,Daniele Nardi
Giuseppe De Giacomo,Riccardo Rosati
Maurizio Lenzerini,Riccardo Rosati
Luca Cabibbo,Riccardo Torlone
Alun D. Preece,Trevor J. M. Bench-Capon
Alun D. Preece,Zhan Cui
W. A. Gray,Trevor J. M. Bench-Capon
W. A. Gray,Zhan Cui
Trevor J. M. Bench-Capon,Zhan Cui
Craig A. Knoblock,Cyrus Shahabi
Wil M. P. van der Aalst,Clarence A. Ellis
Wil M. P. van der Aalst,Jacques Wainer
Clarence A. Ellis,Jacques Wainer
Matthias Klusch,Franco Zambonelli
Enrico Nardelli,Maurizio Talamo
Peter Fankhauser,Aris M. Ouksel
Opher Etzion,Peter Scheuermann
Sanjay Kumar Madria,Bharat K. Bhargava
S. N. Maheshwari,Bharat K. Bhargava
Hans Weigand,Wilhelm Hasselbring
Giacomo Cabri,Sonia Bergamaschi
Sonia Bergamaschi,Letizia Leonardi
Sonia Bergamaschi,Franco Zambonelli
David P. Day,Wayne Goddard
David P. Day,Michael A. Henning
David P. Day,Henda C. Swart
Wayne Goddard,Henda C. Swart
Michael A. Henning,Henda C. Swart
Jianping Li,Ruqun Shen
Jianping Li,Feng Tian 0008
Ruqun Shen,Feng Tian 0008
Suh-Ryung Kim,Fred S. Roberts
Yoshimi Egawa,Katsuhiro Ota
Jorge Stolfi,Celina M. H. de Figueiredo
Jian Shen,David A. Gregory
Guantao Chen,Joan P. Hutchinson
Guantao Chen,Warren E. Shreve
Joan P. Hutchinson,Warren E. Shreve
Joan P. Hutchinson,Bing Wei 0001
Warren E. Shreve,Bing Wei 0001
Kiyoshi Ando,Atsuhiro Nakamoto
Pierluigi Crescenzi,Sergio De Agostino
Pierluigi Crescenzi,Riccardo Silvestri
Sergio De Agostino,Riccardo Silvestri
Elizabeth J. Billington,Gaetano Quattrocchi
Guantao Chen,Ralph J. Faudree
Ralph J. Faudree,Warren E. Shreve
Takayuki Nakamura,Kiyoshi Yoshimoto
David A. Pike,Nabil Shalaby
Ping Wang,Jianfang Wang
Jason I. Brown,Richard J. Nowakowski
Midori Kobayashi,Jin Akiyama
Omer Berkman,Michal Parnas
Omer Berkman,Yehuda Roditty
Michal Parnas,Yehuda Roditty
Konrad Piwakowski,Stanislaw P. Radziszowski
H. L. Abbott,Donovan R. Hare
András Gács,Péter Sziklai
Ljiljana Brankovic,Peter Horák
Ljiljana Brankovic,Mirka Miller
Ljiljana Brankovic,Alexander Rosa
Peter Horák,Mirka Miller
Peter Horák,Alexander Rosa
Mirka Miller,Alexander Rosa
Richard C. Brewster,Gary MacGillivray
Guojun Li,Binhai Zhu
Binhai Zhu,Chuanping Chen
Peter Horák,Edward A. Bertram
Alan C. H. Ling,Eric Mendelsohn
Camino Balbuena,Angeles Carmona
Carla D. Savage,James A. Sellers
Louis V. Quintas,Jerzy Szymanski
Peter Che Bor Lam,Feng Sun
Peter Che Bor Lam,Jianfang Wang
Wai Chee Shiu,Feng Sun
Wai Chee Shiu,Jianfang Wang
Feng Sun,Jianfang Wang
Yoshimi Egawa,Hikoe Enomoto
Yoshimi Egawa,Norihide Tokushige
Hikoe Enomoto,Norihide Tokushige
Gerard J. Chang,Daphne Der-Fen Liu
Gábor Bacsó,Zsolt Tuza
Stefano Marcugini,Alfredo Milani
Alfredo Milani,Fernanda Pambianco
Diane M. Donovan,Abdollah Khodkar
Charles Laywine,Gary L. Mullen
David C. Fisher,Suh-Ryung Kim
David C. Fisher,Yunsun Nam
Min-Jen Jou,Gerard J. Chang
Nobuhiko Ikeda,Mohamad H. Hassoun
Xiaofeng Liao,Edgar N. Sánchez
Guanrong Chen,Edgar N. Sánchez
Stephen Grossberg,Mitsuo Kawato
Stephen Grossberg,John G. Taylor
Mitsuo Kawato,John G. Taylor
Stephen Grossberg,Pierre Lavoie
Seungjin Choi,Shun-ichi Amari
Tomohiro Shibata,Stefan Schaal
Jesse S. Jin,Marwan A. Jabri
Noboru Murata,Klaus-Robert Müller
Klaus-Robert Müller,Shun-ichi Amari
Naonori Ueda,Zoubin Ghahramani
Stephen Grossberg,Wolfgang Maass 0001
Daniel Bullock,C. (Lieke) E. Peper
Daniel Bullock,Peter J. Beek
C. (Lieke) E. Peper,Peter J. Beek
Nikolaos Ampazis,John G. Taylor
Stavros J. Perantonis,John G. Taylor
Giacomo Indiveri,Rodney J. Douglas
Francesco Vivarelli,Christopher K. I. Williams
Kotaro Hirasawa,Sung-Ho Kim
Kotaro Hirasawa,Jinglu Hu
Kotaro Hirasawa,Junichi Murata
Kotaro Hirasawa,Chunzhi Jin
Sung-Ho Kim,Jinglu Hu
Sung-Ho Kim,Junichi Murata
Sung-Ho Kim,Chunzhi Jin
Jinglu Hu,Junichi Murata
Jinglu Hu,Chunzhi Jin
Junichi Murata,Chunzhi Jin
David A. Sprecher,Sorin Draghici
Chi-Sing Leung,Kwok-Wo Wong
Kwok-Wo Wong,Lai-Wan Chan
Marie Cottrell,Michel Verleysen
Kenji Doya,Peter Dayan
Kenji Doya,Michael E. Hasselmo
Peter Dayan,Michael E. Hasselmo
Teuvo Kohonen,Panu Somervuo
Ke Chen 0001,DeLiang L. Wang
Nir Levy,David Horn
Nir Levy,Isaac Meilijson
Nir Levy,Eytan Ruppin
David Horn,Isaac Meilijson
David Horn,Eytan Ruppin
Fernando J. Corbacho,Ramón Huerta
Nigel M. Allinson,Klaus Obermayer
Stephen Marsland,Jonathan Shapiro
Stephen Marsland,Ulrich Nehmzow
Jonathan Shapiro,Ulrich Nehmzow
Gert Cauwenberghs,Andreas G. Andreou
Antony Browne,Ron Sun
Katsuyuki Hagiwara,Naohiro Toda
Katsuyuki Hagiwara,Shiro Usui
Naohiro Toda,Shiro Usui
Yasuhiro Wada,Mitsuo Kawato
Ramón Huerta,Henry D. I. Abarbanel
Guido Bugmann,Trevor G. Clarkson
Monique Guignard,Chun-Hung Chen
Frank L. Lewis,Diane J. Cook
A. Galip Ulsoy,Ali Allahverdi
A. Galip Ulsoy,Yoram Koren
Alejandro Ramirez-Serrano,Beno Benhabib
Luca Maria Gambardella,Marco Zaffalon
Andrea Emilio Rizzoli,Marco Zaffalon
Barry Smith 0001,David M. Mark
Jun Chen,Zhilin Li
Gerard B. M. Heuvelink,Peter A. Burrough
Piotr Jankowski,Natalia V. Andrienko
Piotr Jankowski,Gennady L. Andrienko
Natalia V. Andrienko,Gennady L. Andrienko
Helmut Ratschek,Jon G. Rokne
Stephen Wise,Robert Haining
Martien Molenaar,Hui Lin 0002
Bin Jiang,Hui Li
Chong-Won Lee,Zeungnam Bien
Yonghong Tan,Achiel R. Van Cauwenberghe
Yonghong Tan,Mehrdad Saif
Achiel R. Van Cauwenberghe,Mehrdad Saif
Anna Maria Colla,Réjean Plamondon
Shouling He,Nariman Sepehri
Shouling He,Rolf Unbehauen
Nariman Sepehri,Rolf Unbehauen
Réjean Plamondon,Ying Li
Suguru Arimoto,Tomohide Naniwa
Raymond W. Yeung,Philip R. Moore
Mourad Oussalah 0002,Joris De Schutter
Dennis Dams,Yassine Lakhnech
Jos C. M. Baeten,C. A. Middelburg
Vittorio Cortellessa,Vincenzo Grassi
Joseph A. Goguen,Grant Malcolm
Luca Aceto,François Laroussinie
Jan Friso Groote,Alban Ponse
Jan A. Bergstra,Inge Bethke
Henrik Hulgaard,Henrik Reif Andersen
Kim Guldstrand Larsen,Wang Yi 0001
Stefania Gnesi,Diego Latella
Stefania Gnesi,Mieke Massink
Diego Latella,Mieke Massink
Prosenjit Bose,Ferran Hurtado
Prosenjit Bose,Henk Meijer
Prosenjit Bose,David Rappaport
Prosenjit Bose,Thomas C. Shermer
Ferran Hurtado,Henk Meijer
Ferran Hurtado,Suneeta Ramaswami
Ferran Hurtado,David Rappaport
Ferran Hurtado,Thomas C. Shermer
Henk Meijer,Suneeta Ramaswami
Henk Meijer,David Rappaport
Henk Meijer,Thomas C. Shermer
Henk Meijer,Godfried T. Toussaint
Suneeta Ramaswami,David Rappaport
Suneeta Ramaswami,Thomas C. Shermer
David Rappaport,Thomas C. Shermer
David Rappaport,Godfried T. Toussaint
Thomas C. Shermer,Godfried T. Toussaint
Paliath Narendran,Michaël Rusinowitch
Marcelo P. Fiore,Eugenio Moggi
Marcelo P. Fiore,Davide Sangiorgi
Eugenio Moggi,Davide Sangiorgi
Pekka Kilpeläinen,Derick Wood
Rusins Freivalds,Marek Karpinski
Rusins Freivalds,Rolf Wiehagen
Marek Karpinski,Carl H. Smith
Marek Karpinski,Rolf Wiehagen
Abbas Edalat,Prakash Panangaden
Domenico Cantone,Eugenio G. Omodeo
Paolo Baldan,Andrea Corradini
Paolo Baldan,Ugo Montanari
William C. Rounds,Guo-Qiang Zhang 0001
Alfons Geser,Aart Middeldorp
Alfons Geser,Enno Ohlebusch
Alfons Geser,Hans Zantema
Aart Middeldorp,Enno Ohlebusch
Aart Middeldorp,Hans Zantema
Enno Ohlebusch,Hans Zantema
Benny Chor,Yuval Ishai
Mikael Goldmann,Alexander Russell
Marco Pistore,Davide Sangiorgi
Zurab Khasidashvili,Vincent van Oostrom
Marc Gyssens,Dan Suciu
Dan Suciu,Dirk Van Gucht
Rudolf Fleischer,Kathleen Romanik
Rudolf Fleischer,Sven Schuierer
Kathleen Romanik,Sven Schuierer
Iliano Cervesato,Frank Pfenning
Martin Hofmann 0001,Benjamin C. Pierce
Hagit Attiya,Shlomo Moran
Kamal Lodaya,Pascal Weil
Robert Givan,Dexter Kozen
David A. McAllester,Dexter Kozen
Arend Rensink,Roberto Gorrieri
Richard Beigel,Richard Chang
Alberto Apostolico,Mikhail J. Atallah
Rosario Gennaro,Pankaj Rohatgi
Jerzy Tiuryn,Pawel Urzyczyn
Olivier Carton,Wolfgang Thomas
Manfred Göbel,Heinz Kredel
Marco Comini,Maria Chiara Meo
Giorgio Levi,Maria Chiara Meo
Harry B. Hunt III,Venkatesh Radhakrishnan
Harry B. Hunt III,S. S. Ravi
Harry B. Hunt III,Daniel J. Rosenkrantz
Madhav V. Marathe,Venkatesh Radhakrishnan
Madhav V. Marathe,Daniel J. Rosenkrantz
Venkatesh Radhakrishnan,S. S. Ravi
Venkatesh Radhakrishnan,Daniel J. Rosenkrantz
Venkatesh Radhakrishnan,Richard Edwin Stearns
S. S. Ravi,Daniel J. Rosenkrantz
S. S. Ravi,Richard Edwin Stearns
Daniel J. Rosenkrantz,Richard Edwin Stearns
Sharad Mehrotra,Rajeev Rastogi
Sharad Mehrotra,Yuri Breitbart
Sharad Mehrotra,Henry F. Korth
Sharad Mehrotra,Abraham Silberschatz
Rajeev Rastogi,Yuri Breitbart
Rajeev Rastogi,Henry F. Korth
Rajeev Rastogi,Abraham Silberschatz
Yuri Breitbart,Henry F. Korth
Yuri Breitbart,Abraham Silberschatz
Henry F. Korth,Abraham Silberschatz
Giuseppe Castagna,Gang Chen
Luca Cardelli,Giorgio Ghelli
Luca Cardelli,Andrew D. Gordon
Giorgio Ghelli,Andrew D. Gordon
Roberto Bruni,Vladimiro Sassone
José Meseguer,Vladimiro Sassone
Edith Hemaspaandra,Lane A. Hemaspaandra
Edith Hemaspaandra,Marius Zimand
Lane A. Hemaspaandra,Marius Zimand
Martin Otto 0001,Jerzy Tyszkiewicz
Martin Otto 0001,Jan Van den Bussche
Jerzy Tyszkiewicz,Jan Van den Bussche
Beate Bollig,Martin Sauerhoff
Beate Bollig,Ingo Wegener
Martin Sauerhoff,Ingo Wegener
Gudmund Skovbjerg Frandsen,Peter Bro Miltersen
Juraj Hromkovic,Juhani Karhumäki
Sebastian Seibert,Juhani Karhumäki
Sebastian Seibert,Georg Schnitger
Juhani Karhumäki,Georg Schnitger
Susanne Albers,Moses Charikar
Susanne Albers,Michael Mitzenmacher
Moses Charikar,Michael Mitzenmacher
Giuseppe Di Battista,Roberto Tamassia
Giuseppe Di Battista,Luca Vismara
Henning Fernau,Ludwig Staiger
P. S. Thiagarajan,Igor Walukiewicz
Peter L. Bartlett,Paul Fischer
Peter L. Bartlett,Klaus-Uwe Höffgen
Paul Fischer,Klaus-Uwe Höffgen
Andreas Blass,Jan Van den Bussche
Yuri Gurevich,Jan Van den Bussche
Michael A. Bender,Antonio Fernández 0001
Michael A. Bender,Dana Ron
Michael A. Bender,Amit Sahai
Michael A. Bender,Salil P. Vadhan
Antonio Fernández 0001,Dana Ron
Antonio Fernández 0001,Amit Sahai
Antonio Fernández 0001,Salil P. Vadhan
Dana Ron,Amit Sahai
Dana Ron,Salil P. Vadhan
Dahlia Malkhi,Avishai Wool
Dahlia Malkhi,Rebecca N. Wright
Michael K. Reiter,Avishai Wool
Michael K. Reiter,Rebecca N. Wright
Avishai Wool,Rebecca N. Wright
Pierluigi Crescenzi,Luca Trevisan
Riccardo Silvestri,Luca Trevisan
Martin Hofmann 0001,Thomas Streicher
Martín Abadi,Georges Gonthier
Kim B. Bruce,Didier Rémy
Anna Bernasconi 0001,Carsten Damm
Anna Bernasconi 0001,Igor E. Shparlinski
Carsten Damm,Igor E. Shparlinski
Claudio Gentile,David P. Helmbold
Orna Kupferman,Pierre Wolper
Moshe Y. Vardi,Pierre Wolper
Stéphane Demri,Philippe Schnoebelen
Richard Beigel,Lane A. Hemaspaandra
Richard Beigel,Harald Hempel
Lane A. Hemaspaandra,Harald Hempel
Mireille Clerbout,Yves Roos
Samson Abramsky,Luca Aceto
Samson Abramsky,Anna Ingólfsdóttir
Andrea Asperti,Harry G. Mairson
Amir Pnueli,Michael Siegel
Kousha Etessami,Moshe Y. Vardi
Kousha Etessami,Thomas Wilke
Moshe Y. Vardi,Thomas Wilke
Amos Beimel,Eyal Kushilevitz
David Harel,Moshe Y. Vardi
Roberto Grossi,Andrea Pietracaprina
Roberto Grossi,Geppino Pucci
Adel Bouhoula,Jean-Pierre Jouannaud
Charles J. Colbourn,Jeffrey H. Dinitz
Jeffrey H. Dinitz,Douglas R. Stinson
Sinisa Crvenkovic,Zoltán Ésik
Igor Dolinka,Zoltán Ésik
Noga Alon,Haim Kaplan
Noga Alon,Michael Krivelevich
Noga Alon,Dahlia Malkhi
Haim Kaplan,Michael Krivelevich
Haim Kaplan,Dahlia Malkhi
Michael Krivelevich,Dahlia Malkhi
Rosario Gennaro,Hugo Krawczyk
Rosario Gennaro,Tal Rabin
Hugo Krawczyk,Tal Rabin
Furio Honsell,Donald Sannella
Uwe Nestmann,Hans Hüttel
François Fages,Paul Ruet
Eike Best,Raymond R. Devillers
Eike Best,Maciej Koutny
Raymond R. Devillers,Maciej Koutny
Sujata Banerjee,David Tipper
Mark Allman,Vern Paxson
Ashish Goel,John S. Heidemann
Jon Crowcroft,Derek McAuley
Mark Crovella,Ibrahim Matta
Ashish Goel,Ramesh Govindan
Ramesh Govindan,Scott Shenker
Ramesh Govindan,Walter Willinger
Scott Shenker,Walter Willinger
Steven M. Bellovin,Sally Floyd
Steven M. Bellovin,John Ioannidis
Steven M. Bellovin,Vern Paxson
Steven M. Bellovin,Scott Shenker
Sally Floyd,John Ioannidis
Sally Floyd,Vern Paxson
Sally Floyd,Scott Shenker
John Ioannidis,Vern Paxson
John Ioannidis,Scott Shenker
Vern Paxson,Scott Shenker
Mehmet Karaul,Thomas F. La Porta
Thomas E. Anderson,Anna R. Karlin
Thomas E. Anderson,Stefan Savage
Anna R. Karlin,Stefan Savage
Wu-chang Feng,Wu-chi Feng
Wu-chang Feng,Jonathan Walpole
Wu-chi Feng,Jonathan Walpole
Balaji Prabhakar,Scott Shenker
Jeffrey C. Mogul,Greg Minshall
John Kubiatowicz,Anthony D. Joseph
Glenn Judd,Peter Steenkiste
Andrew T. Campbell,Mischa Schwartz
Anja Feldmann,Walter Willinger
Giuseppe Bianchi 0001,Flaminio Borgonovo
Giuseppe Bianchi 0001,Antonio Capone
Giuseppe Bianchi 0001,Luigi Fratta
Hari Balakrishnan,M. Frans Kaashoek
Bruce M. Maggs,Hui Zhang 0001
Helmut Bölcskei,Pierre Duhamel
Peter Willett 0001,Yaakov Bar-Shalom
Bijan Sayyarrodsari,Jonathan P. How
Bijan Sayyarrodsari,Babak Hassibi
Jonathan P. How,Babak Hassibi
Hoang Duong Tuan,Truong Q. Nguyen
Pierre Apkarian,Truong Q. Nguyen
Kok Lay Teo,Antonio Cantoni
Petar M. Djuric,Simon J. Godsill
Mounir Ghogho,Olivier Besson
Mounir Ghogho,Ananthram Swami
Olivier Besson,Ananthram Swami
Jian Li 0001,Hongbin Li
Er-Wei Bai,Minyue Fu
Vikram Krishnamurthy,Gang George Yin
Mounir Ghogho,Tariq S. Durrani
Ananthram Swami,Tariq S. Durrani
Ljubisa A. Stankovic,Igor Djurovic
Panagiotis Merakos,Thanos Stouraitis
Panagiotis Merakos,Costas E. Goutis
Thanos Stouraitis,Costas E. Goutis
Lihua Xie,Chunling Du
Chunling Du,Cishen Zhang
Chunling Du,Yeng Chai Soh
Cishen Zhang,Yeng Chai Soh
Giovanni Jacovitti,Gaetano Scarano
Reinaldo M. Palhares,Carlos E. de Souza
Reinaldo M. Palhares,Pedro Luis Dias Peres
Carlos E. de Souza,Pedro Luis Dias Peres
Chien-Cheng Tseng,Soo-Chang Pei
Guoan Bi,Yan Qiu Chen
Antonia Papandreou-Suppappola,Gloria Faye Boudreaux-Bartels
Pauli Kuosmanen,Jaakko Astola
Anna Scaglione,Petre Stoica
Petre Stoica,Sergio Barbarossa
Petre Stoica,Georgios B. Giannakis
Xiaodong Wang 0001,H. Vincent Poor
Chaouki Diab,Rémy Prost
Saul B. Gelfand,James V. Krogmeier
Louis L. Scharf,Benjamin Friedlander
